Arterial	79658 5592 4430 6529 5159 79789 3355 221981 143872 27115 5336 84251 51196 4916 23500 151258 4091 1607 8821 55799 220441 6573 54438 477 5745 100874369 255488 6641 22998 8503 8622 5139 1356 5787 23284 4811 3909 2078 64123 5602 25924 4855 6507 249 4301 2262 1368 55532 7010 395 596 9844 1004 10052 783 1756 5175 79875 10217 9934 85358 2122 154661 1009 79993 4854 57101 5362 7450 10231 55930 152189 3983 2317 257019 79602 114800 338596 654 388815 50509 6513 27147 9429 140876 7424 2913 3655 2313 54873 9037 2918 117248 124359 2043 8490 51705 25758 19 256435 5420 401474 7052 116159 81035 22856 151473 147463 23243 6539 57125 8633 64759 1948 130367 54039 55243 55917 54622 728577 5243 4842 51162 57514 152330 3680 1780 64283 153579 64094 9628 2895 79772 55824 947 2530 1124 6103 9709 10090 6909 253782 558 28231 6303 57580 1634 744 57493 100132891 2887 2650 65983 57480 10085 283383 8825 57162 57194 5825 54536 90632 6397 54453 144402 84952 3685 55959 8871 55790 3635 79611 9096 5924 5140 27443 4131 1285 9915 6480 5128 7222 55691 105 56920 441094 1363 57458 7273 2321 159195 80731 79633 657 800 54477 9882 9828 1608 7545 57139 55679 3133 55022 11178 5764 6586 6095 27143 90102 3480 8395 111 56654 93664 57630 79870 22979 7111 151742 399959 9732 29119 22925 5783 5998 5293 11309 22854 64327 220965 126669 7122 100526832 3075 196883 401145 5137 23263 85004 5287 8654 10319 2009 1843 85407 4739 57477 1000 7026 6540 23136 3397 57732 221395 6575 1837 6764 1286 2022 8459 6581 83716 3551 5530 57496 953 9457 83938 91133 8502 54852 9686 167465 22861 26051 6913 11170 105378909 23368 285671 90 160622 25937 2012 351 1909 64409 3679 5218 5445 23150 9414 6453 85461
Arteriolar-SMC	6586 9628 83716 57101 2122 57480 2313 2078 5787 79875 5139 5175 25924 55604 22998 7450 5243 8503 29119 6546 783 79993 4301 10231 3983 152189 6581 64123 338596 153579 1780 9844 11155 201501 3655 256435 84952 117248 4916 255488 8395 51162 5420 154661 5362 57514 4855 85358 2321 124359 401474 3635 11309 6196 79602 4091 79658 8821 1607 79789 109 151258 9429 64759 51196 25992 8566 3355 1837 6397 23263 8140 4163 116496 221395 130367 151742 143872 9922 344558 57493 5159 114800 1608 1756 25802 51705 221981 7052 4739 6541 9096 7010 54453 6103 57608 54739 5592 54438 5583 57181 6513 2317 220441 4629 84251 306 2895 2043 79742 159195 9712 28231 51088 4862 93649 2022 10098 949 55959 6909 7037 90632 116159 9060 4131 1368 29091 9882 23670 7122 152330 57477 54843 9915 5136 4430 10085 111 51703 100874369 6480 23114 93664 29780 55243 395 167465 182 3455 4854 1004 54622 728577 5445 2887 22856 23037 596 54873 6303 22979 94240 64327 1356 11156 55930 57139 5128 64094 23294 23348 9267 2009 947 55799 5924 144402 654 115677 9037 7075 340485 257019 348645 64359 5602 79739 80731 4162 54492 8654 10982 10335 26040 558 3075 6345 26508 5939 5144 2066 222553 253782 55691 541471 9457 80014 100132891 4811 6913 1909 8633 7111 27145 9472 351 25937 84159 220965 26030 10486 91133 81704 800 80781 11141 287 28996 2776 4642 3679 25966 11281 80852 8516 1284 8837 4205 161357 1282 25849 219771 8496 57154 3480 114907 65268 845 10398 659 55151 3487 6876 2059 5797 57158 463 57488 54751 5468 284 5154 344148 11030 116154 8874 65065 401014 6711 57194 10395 3092 114781 23345 4026 2034 6660 5796 1879 246175 118 57460 23368 9709 54852 79633 83938 3133 4093 5530 84441 9839 6328 59
Artirial-FB	23768 80114 23460 10351 2192 5156 101928583 30820 5212 730 5010 101927289 27286 2327 64131 1293 26033 1306 26011 54716 6444 1303 79827 349136 3290 2258 55784 3973 25891 105369438 348980 3776 5318 10349 2162 57214 10350 259232 1545 10154 2893 2719 33 2152 4920 1902 2274 114784 8854 8522 165186 1646 3912 347 54757 101927293 51678 257194 5337 91522 10788 1305 84898 144165 101928104 84871 104355297 3603 89795 57562 55504 55182 118429 2200 53616 5396 388815 54829 79974 93986 22871 85449 5730 4916 140862 4035 285590 53373 144406 1634 55022 7049 285154 7068 114793 80005 1740 55640 9945 1278 8869 100506403 7025 3908 10319 54532 727936 401541 387700 8814 81035 399959 1908 92293 79836 79745 83478 23254 120 145820 53353 81848 54558 7148 165 10659 79632 3910 29969 55103 1842 254827 441094 860 715 23359 10656 7371 716 55619 22836 9915 4915 171024 1287 22981 3915 54796 5578 1124 23657 9096 89797 56899 2006 27122 10810 83999 285600 57134 10516 26031 219654 1009 7837 23245 51422 63876 54477 55384 4857 122786 100506686 649 54793 79659 221935 408 64067 10984 23179 22795 1601 101926941 79611 8626 85407 339400 29940 6095 23034 147495 51312 79621 22874 152503 80332 26960 5883 6840 125058 9465 5376 101927111 5783 27303 4958 22801 23136 105377623 6091 85458 5549 55556 10171 25925 5325 57728 642776 6303 8516 5799 79901 51279 124909494 101927394 55785 138639 26115 6507 55799 7545 58499 2272 9902 57584 10098 8554 55075 340554 285195 2042 2823 4756 84168 10580 728621 5295 84133 66000 414778 27152 4784 3717 19 9871 11107 220930 65268 1291 442213 388336 100996709 154810 80210 51134 5587 56172 2752 81029 57539 220323 10010 2774 9120 115123 1292 152185 55970 2131 101928062 1820 147923 80176 23118 203427 79750
Capillary	667 100874369 79658 151258 79789 5592 5159 8140 51196 84251 6529 3355 4916 23500 143872 1756 6566 26040 92521 8821 440345 1607 100132247 55799 220441 6641 613037 153579 5139 6573 8622 5745 5602 781 783 84952 395 50859 1004 6541 596 2262 55532 477 3635 92293 6507 10231 10052 1368 388815 9863 10217 9934 4854 7804 338596 11309 9839 65983 7037 343450 57630 253782 84879 5334 23263 7450 5332 2913 57685 2059 7075 140876 51162 1119 9037 8566 50509 83857 57101 5787 2078 2918 9079 9806 306 949 1730 79993 54039 800 8490 8633 8654 55243 124359 401474 3655 64759 79742 2313 81035 744 57181 79875 53405 6539 25924 152330 2895 57125 7035 6480 55691 64094 1780 5420 3708 9628 55824 152189 5362 117248 5175 256435 4811 57608 2122 558 5243 64798 4651 10090 6909 3908 7222 4301 9429 682 340485 6505 1634 100132891 5125 8825 540 64123 10085 6764 4091 4131 399959 4026 23670 23677 4430 10079 7223 83872 1285 124909494 10276 8503 4855 85358 9096 27115 167465 441094 8884 23114 57194 79611 91133 22998 27443 1286 7545 657 9828 23284 105 151742 2009 10580 9712 80731 130367 6586 79602 64409 84441 6103 5467 1282 57139 1608 5445 11178 283383 57670 51703 154661 9201 4781 29119 5218 55022 84159 7111 257019 8395 64781 3983 28231 220965 5764 255488 79739 5783 55679 9886 3566 57480 25759 6397 22925 23294 10098 6513 1837 357 5293 2321 2887 3455 100526832 10319 5137 115677 2022 26052 348645 1284 25992 604 64344 6581 10628 947 159195 7122 29780 111 26018 93109 6540 83716 1363 9457 11030 11214 54852 7586 51088 54453 9882 57493 29091 1176 114908 2983 57514 23136 28 143686 375449 55604 6913 83643 1909 182 114800 3679 285671 29940 117583 7026 400456 57460 55742 11213 23368 4139 80005
M-Pericyte	8622 2913 79875 57101 5787 6573 55532 2078 6507 4301 84251 25924 2262 2122 5175 23500 22998 3983 7450 79993 338596 5159 1607 2313 6529 8503 5745 27115 79789 5362 64123 8490 256435 143872 9934 3355 3655 401474 9844 255488 153579 51162 117248 124359 84952 151258 1368 51196 5243 4855 8821 220441 57194 10580 79658 9037 152189 154661 85358 477 5420 4091 11309 57480 140876 2918 6541 57125 6539 8140 50509 5602 79602 23263 9429 4916 3635 4854 6480 283383 257019 100132891 6103 5139 10052 130367 54453 5137 6641 22856 3480 114800 7010 152330 2317 4430 7052 221981 57514 23670 5592 2043 54438 744 10231 1004 1285 4811 92293 395 596 2887 64759 23284 79742 306 54873 64094 57493 28231 11178 55959 57181 728577 55799 51705 783 57630 253782 6513 80731 2022 7222 388815 10217 159195 9915 116159 90632 2895 1286 10098 2321 100874369 9628 1756 51703 3909 7037 3566 29091 8566 54039 23368 105 6505 57477 55679 54622 1356 57608 9712 5764 4781 7122 29780 167465 2009 3455 55824 1780 9882 1634 152273 4131 65983 22979 8825 55930 6397 5445 64327 57732 947 340485 57139 4093 7075 9414 29119 10090 4651 8459 8633 348645 27443 6909 57458 57105 6586 6303 100526832 7223 23114 399959 23294 540 2114 5293 8502 8654 55243 144402 81035 79839 23380 55917 80704 441094 25992 3133 23677 151742 558 55790 154043 4739 79633 54852 4643 7545 6581 9709 22861 90 27147 111 54536 5128 57488 3382 577 3685 5218 2650 79611 6913 55785 220965 5783 2983 9267 57685 57670 126669 9096 2977 5924 93109 160622 51088 2308 5563 3551 25825 7026 25759 246175 6482 3459 9828 7111 5998 9686 5467 116496 83716 3710 1000 57496 23243 6566 7804 6793 4045 753 58494 10564 10060 8470 10079 80790 57162 8395 4734 5784
Meningeal-FB	158038 3778 1301 2139 53353 55304 55244 6542 2138 54757 116328 653 93166 57419 123624 1131 120114 23105 101928104 127602 5729 10512 259232 5318 51678 80310 64168 387597 349136 1612 2263 33 286133 119587 10804 8038 133121 2736 79776 9358 79083 654463 339896 223117 115111 56341 54102 688 54463 4223 50937 9353 3606 54716 8671 54796 91584 57188 80114 346007 10082 5730 214 79822 79781 729830 101928882 392636 1577 79827 80036 2561 92949 23213 10154 114793 100506581 2202 90139 2152 6444 84102 83700 81539 401562 93986 159371 288 337876 3691 54511 7111 4233 55366 55799 266722 145581 5791 783 5783 5136 642776 1832 27086 2752 22837 90102 8626 25890 101928583 57134 54221 8633 4035 56243 6660 5793 23245 23382 22874 9249 1902 9467 26012 27303 5063 23057 10395 79974 1545 22925 728597 6925 2034 1879 10186 133308 53904 8404 5796 399959 9644 323 4199 2774 374378 3672 2321 26037 8847 64283 8470 105378858 23328 8543 201266 3490 2059 55714 5337 50807 256356 79745 9882 28232 51176 168667 221395 285045 51422 79875 157769 283131 256435 57194 7422 23092 2122 11214 11138 23345 8708 79993 9185 2 2313 6752 375449 8611 440270 23194 57609 57214 4739 5332 85461 5787 65250 11213 2889 83660 6675 124540 7450 1602 10984 6272 25924 89797 80760 287 3908 25966 23034 221656 8997 3953 7402 57480 23236 51162 57210 8527 11030 8503 255743 9922 64097 5578 5101 7025 115677 7145 23180 1284 23216 3726 5175 10142 4133 64123 66000 9265 9462 4208 253461 169200 2113 79602 152189 151258 257019 23254 2078 6397 2120 256949 10129 124359 118 9873 27151 51088 23499 90627 9429 54739 56999 100874369 1740 140733 57493 29780 955 4430 57520 6383 4855 51776 8301 160851 445815 2869 3655 55917 6541 80005 340554
Microglia-vascular	6916 54502 1794 313 55843 2533 54518 5788 6556 3055 1612 7097 10320 1536 6850 118788 23533 221472 6503 9332 10859 4481 3687 64092 942 6688 1378 3936 963 51411 1462 79895 3071 64581 4360 58475 64231 10288 2212 3587 84106 7409 9473 4688 27128 120425 752 89846 55016 1438 5452 342184 100506403 8714 80896 9056 23406 1520 8522 240 9262 2180 10788 3059 4542 54331 55784 30817 3683 409 54504 10154 54947 29992 81704 3676 2185 57698 3778 64744 1890 4155 23108 8635 64131 84898 83478 4067 8514 5795 8942 2162 23240 9830 79890 5579 23312 9050 4261 124935 54757 81553 5142 139818 5058 6546 116985 23166 285195 9938 50515 374655 393 401548 4126 976 1436 284996 11031 10507 9516 51571 3784 1075 84868 25832 55840 285590 151556 5791 84959 23313 55320 10451 25939 55589 4125 1508 79745 51816 9586 4600 157 10673 132320 114793 960 200424 22877 54103 10312 4033 1955 80005 81671 4853 972 9839 408 4650 7187 7074 57533 11237 9658 9846 85464 4644 427 1535 343099 57522 79651 5325 10019 8935 5329 490 11064 55619 3556 54436 5966 23136 55824 114789 10188 5793 9750 11177 9958 7453 10890 64072 23186 22837 8527 54715 9734 84669 221895 57705 2885 22821 57674 55577 23179 10000 6303 9517 3937 26037 9369 3123 160 51312 26031 4035 219285 80709 23276 64420 55196 112616 23370 221656 5660 55313 841 1806 23150 51347 2643 5209 8994 5140 64397 10659 3965 8073 7903 9909 9194 1124 55737 4048 79670 120892 116984 4121 27303 6793 7133 2633 23157 23228 114885 1871 10533 323 126308 3717 8569 80216 6452 55332 171586 4084 7082 161176 6794 51092 128989 7408 79940 2495 3600 89849 51762 64421 760 3516 4363 10186 334 9334 2729 472 140688 9467 26469 23515 2799 23762 57484 51363 11214 9881
Pericyte	57194 8470 5787 57101 2078 25924 4301 79875 2313 79602 7450 338596 374378 3480 10580 22998 79993 5175 401474 5362 6480 3983 8503 57496 124359 256435 64123 51162 4781 3655 57514 2887 84952 117248 255488 4855 64327 153579 9429 4643 2122 5420 22856 4091 9882 152189 23294 154661 5243 8502 57488 4205 5445 57480 85358 85461 11309 54622 9844 54873 6541 6397 54453 5924 144402 25937 8140 10611 57493 57181 55679 6103 54438 9712 23263 3635 51232 219771 54536 159195 6505 80014 2317 2321 3566 64344 130367 3267 3685 9693 23380 23670 7052 351 7010 1499 2043 23143 2776 5128 6529 5286 28232 114800 54739 10564 246175 83938 6513 11213 5530 25897 3455 2022 7037 221981 26052 3909 6507 51701 728577 64359 90 6573 23348 2120 2034 8622 5066 79742 659 23345 306 9213 57732 90632 9922 5583 55917 4739 6303 5784 753 8566 259230 9873 8848 10098 221395 2040 93664 8837 57477 4306 55959 115677 477 9686 28231 29780 5745 2308 2114 57608 92293 57162 51088 9267 5825 221692 9639 4862 9709 2009 3551 25992 5467 51705 152273 340485 57458 23368 51703 116159 167465 613037 22979 2262 29091 1362 8459 9915 25825 647135 3133 5797 1356 55930 84251 3459 9414 7204 4093 3977 540 947 5592 23677 7075 23233 80790 23243 3096 8301 348645 79633 8496 953 151258 23500 154043 55790 2280 54852 80704 6925 57580 2650 27115 2918 1000 3382 55785 57670 22861 196883 126669 1368 79658 5998 3355 3710 93109 7804 57556 6539 58494 81035 4916 79789 10052 51196 5159 4811 143872 27443 105 9934 800 57125 50509 140876 3908 65983 27147 10395 6095 463 2059 8997 5728 283131 5793 56288 2289 118 3241 100874369 4734 9806 64283 10135 10079 4651 6272 5336 147463 7122 2355 160622 56261 9337 9710 1176 91010 100505495 84910 654
Pericyte-2	6539 2913 644135 55532 57125 6507 7222 9934 2918 81035 1285 8490 744 9037 8622 1634 5764 6573 10090 64094 1004 23500 6641 5159 57105 100874090 1607 5602 10060 55824 6540 100132891 79611 55022 152330 10350 143872 1286 388815 220441 2262 11178 50509 140876 4854 10723 5745 283383 395 441094 84251 79789 6529 596 253782 3355 27115 8821 10217 5137 7223 51196 10052 2078 2983 105 1368 80731 57101 8654 4301 2977 101928404 5139 79875 57630 55799 7035 54039 5175 8825 79658 23136 100526832 64759 399959 79993 7450 79839 7026 22998 5218 23284 27443 5787 4430 4811 151258 338596 3983 29940 64123 8633 116931 255488 477 220965 256435 54997 5563 1278 117248 122786 3655 7545 5362 221303 577 401474 8503 25924 2982 5783 1756 153579 10319 84952 5293 9828 2122 783 55243 65983 257019 10231 4091 1909 143686 51751 124359 57194 93986 57685 10628 22925 2313 11309 9457 4855 85358 657 157 4045 10085 51162 154661 9844 1780 5396 1363 23263 50863 9096 400456 10580 6480 5592 3635 8140 3679 5608 57381 9839 6541 130367 6913 80332 4023 5420 22856 23114 221981 6764 114800 9429 7273 5334 92293 7052 2043 9902 6103 7010 124909494 92521 79739 55803 4131 152189 2246 79742 145820 344595 5243 11281 6575 28231 286097 306 151742 90362 133522 7025 55137 1600 2895 23670 54438 54477 6453 54873 26030 100874369 3745 57139 9771 85004 3480 79602 541471 53826 1291 220164 55679 337876 54843 10082 6505 252983 79785 343450 202151 9912 85301 63982 55255 100506474 2887 4139 6769 114991 105377443 54492 401190 27242 22836 23704 57447 2550 27255 23493 2770 54453 84168 196740 760 1292 56937 4254 7225 1290 57480 55068 9420 3566 4781 54861 154091 4035 80031 57705 952 25966 1287 10129 53919 64150 9781
